id_trx,fecha,id_cliente,monto,estado,metodo_pago
1,2023-10-04,1035,200.68,Fallida,Efectivo
2,2023-10-11,1007,10.74,Fallida,Efectivo
3,2023-10-06,1001,220.31,Completada,Efectivo
4,2023-10-15,1008,49.55,Pendiente,Tarjeta
5,2023-10-15,1036,,Pendiente,Efectivo
6,2023-10-22,1030,217.83,Pendiente,Efectivo
7,2023-10-21,1024,495.95,Completada,Tarjeta
8,2023-10-21,1009,331.69,Fallida,Efectivo
9,2023-10-01,1049,184.85,Fallida,Tarjeta
10,2023-10-05,1050,27.42,Pendiente,Tarjeta
11,2023-10-17,1009,69.28,Completada,Efectivo
12,2023-10-21,1037,167.69,Pendiente,Transferencia
13,2023-10-07,1028,481.3,Fallida,Tarjeta
14,2023-10-02,1021,147.57,Fallida,Efectivo
15,2023-10-04,1005,418.35,Pendiente,Transferencia
16,2023-10-24,1036,365.75,Completada,Tarjeta
17,2023-10-01,1018,210.2,Fallida,Transferencia
18,2023-10-28,1013,437.84,Completada,Transferencia
19,2023-10-26,1038,119.33,Fallida,Tarjeta
20,2023-10-26,1010,67.17,Completada,Efectivo
21,2023-10-12,1048,226.25,Fallida,Tarjeta
22,2023-10-28,1019,336.02,Pendiente,Tarjeta
23,2023-10-08,1010,37.75,Pendiente,Transferencia
24,2023-10-10,1038,111.54,Completada,Transferencia
25,2023-10-12,1022,155.08,Completada,Efectivo
26,2023-10-05,1024,399.06,Pendiente,Transferencia
27,2023-10-12,1010,434.81,Completada,Efectivo
28,2023-10-20,1027,423.14,Pendiente,Efectivo
29,2023-10-17,1005,387.85,Pendiente,Efectivo
30,2023-10-18,1036,83.33,Pendiente,Tarjeta
31,2023-10-03,1008,493.62,Completada,Tarjeta
32,2023-10-03,1003,308.87,Fallida,Transferencia
33,2023-10-11,1036,146.78,Fallida,Efectivo
34,2023-10-05,1050,272.74,Completada,Tarjeta
35,2023-10-03,1021,253.94,Pendiente,Efectivo
36,2023-10-13,1019,49.38,Fallida,Tarjeta
37,2023-10-18,1040,89.88,Fallida,Tarjeta
38,2023-10-08,1025,38.01,Completada,Efectivo
39,2023-10-03,1003,,Pendiente,Efectivo
40,2023-10-28,1000,44.21,Fallida,Transferencia
41,2023-10-06,1002,322.41,Fallida,Transferencia
42,2023-10-16,1025,291.97,Pendiente,Efectivo
43,2023-10-27,1003,353.85,Pendiente,Tarjeta
44,2023-10-20,1047,395.17,Completada,Tarjeta
45,2023-10-10,1040,246.18,Completada,Efectivo
46,2023-10-12,1032,,Pendiente,Tarjeta
47,2023-10-10,1029,419.62,Completada,Efectivo
48,2023-10-22,1004,71.34,Fallida,Tarjeta
49,2023-10-19,1020,222.52,Pendiente,Transferencia
50,2023-10-23,1046,118.68,Pendiente,Efectivo
51,2023-10-27,1035,48.04,Fallida,Transferencia
52,2023-10-10,1021,317.42,Fallida,Tarjeta
53,2023-10-29,1045,95.29,Completada,Transferencia
54,2023-10-20,1021,155.44,Fallida,Transferencia
55,2023-10-28,1019,226.73,Pendiente,Tarjeta
56,2023-10-24,1024,412.91,Pendiente,Tarjeta
57,2023-10-16,1000,344.73,Completada,Efectivo
58,2023-10-15,1022,258.79,Pendiente,Transferencia
59,2023-10-30,1040,212.02,Fallida,Efectivo
60,2023-10-04,1017,331.44,Fallida,Efectivo
61,2023-10-09,1001,477.56,Pendiente,Efectivo
62,2023-10-14,1010,107.75,Pendiente,Transferencia
63,2023-10-09,1034,42.47,Fallida,Tarjeta
64,2023-10-27,1046,162.35,Completada,Efectivo
65,2023-10-05,1026,390.03,Pendiente,Efectivo
66,2023-10-28,1007,165.92,Fallida,Tarjeta
67,2023-10-13,1008,110.99,Pendiente,Transferencia
68,2023-10-30,1039,48.58,Fallida,Tarjeta
69,2023-10-22,1037,173.3,Completada,Efectivo
70,2023-10-11,1038,231.07,Fallida,Tarjeta
71,2023-10-27,1031,74.57,Pendiente,Transferencia
72,2023-10-22,1012,324.86,Pendiente,Transferencia
73,2023-10-30,1009,99.78,Completada,Tarjeta
74,2023-10-28,1044,261.47,Pendiente,Efectivo
75,2023-10-29,1002,21.6,Completada,Tarjeta
76,2023-10-01,1029,233.32,Fallida,Transferencia
77,2023-10-11,1031,311.85,Completada,Tarjeta
78,2023-10-20,1029,218.08,Fallida,Transferencia
79,2023-10-11,1046,333.29,Completada,Transferencia
80,2023-10-01,1018,422.33,Completada,Transferencia
81,2023-10-29,1049,,Completada,Efectivo
82,2023-10-04,1030,447.09,Fallida,Efectivo
83,2023-10-13,1009,397.75,Pendiente,Tarjeta
84,2023-10-21,1033,130.72,Completada,Tarjeta
85,2023-10-07,1019,126.05,Fallida,Efectivo
86,2023-10-11,1048,385.99,Fallida,Tarjeta
87,2023-10-31,1003,494.51,Pendiente,Tarjeta
88,2023-10-25,1025,57.48,Completada,Tarjeta
89,2023-10-07,1002,193.84,Completada,Transferencia
90,2023-10-23,1026,112.99,Pendiente,Efectivo
91,2023-10-25,1037,,Pendiente,Transferencia
92,2023-10-04,1042,79.27,Pendiente,Tarjeta
93,2023-10-02,1048,318.8,Pendiente,Transferencia
94,2023-10-16,1045,488.47,Pendiente,Tarjeta
95,2023-10-15,1030,297.6,Completada,Tarjeta
96,2023-10-18,1049,102.61,Fallida,Efectivo
97,2023-10-14,1018,331.75,Completada,Tarjeta
98,2023-10-08,1004,23.39,Pendiente,Tarjeta
99,2023-10-12,1001,138.24,Pendiente,Tarjeta
100,2023-10-06,1001,314.59,Pendiente,Transferencia
