STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,IDB_INFRALATAM_1,Annual public investment in economic infrastructure at current prices in national currency (millions),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IDB_INFRALATAM_TS,Sector: Total sectors,IDB_INFRALATAM_TSS,Subsector: Total subsectors,_Z,Not Applicable,2008,16200.07066661,IDB_INFRALATAM,Infralatam,6,Millions,CUR,Currency,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,IDB_INFRALATAM_1,Annual public investment in economic infrastructure at current prices in national currency (millions),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IDB_INFRALATAM_TS,Sector: Total sectors,IDB_INFRALATAM_TSS,Subsector: Total subsectors,_Z,Not Applicable,2009,22509.05213642,IDB_INFRALATAM,Infralatam,6,Millions,CUR,Currency,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,IDB_INFRALATAM_1,Annual public investment in economic infrastructure at current prices in national currency (millions),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IDB_INFRALATAM_TS,Sector: Total sectors,IDB_INFRALATAM_TSS,Subsector: Total subsectors,_Z,Not Applicable,2010,32324.915399950005,IDB_INFRALATAM,Infralatam,6,Millions,CUR,Currency,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,IDB_INFRALATAM_1,Annual public investment in economic infrastructure at current prices in national currency (millions),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IDB_INFRALATAM_TS,Sector: Total sectors,IDB_INFRALATAM_TSS,Subsector: Total subsectors,_Z,Not Applicable,2011,32149.88972326,IDB_INFRALATAM,Infralatam,6,Millions,CUR,Currency,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,IDB_INFRALATAM_1,Annual public investment in economic infrastructure at current prices in national currency (millions),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IDB_INFRALATAM_TS,Sector: Total sectors,IDB_INFRALATAM_TSS,Subsector: Total subsectors,_Z,Not Applicable,2012,35659.964507150005,IDB_INFRALATAM,Infralatam,6,Millions,CUR,Currency,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,IDB_INFRALATAM_1,Annual public investment in economic infrastructure at current prices in national currency (millions),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IDB_INFRALATAM_TS,Sector: Total sectors,IDB_INFRALATAM_TSS,Subsector: Total subsectors,_Z,Not Applicable,2013,48578.58443327,IDB_INFRALATAM,Infralatam,6,Millions,CUR,Currency,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,IDB_INFRALATAM_1,Annual public investment in economic infrastructure at current prices in national currency (millions),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IDB_INFRALATAM_TS,Sector: Total sectors,IDB_INFRALATAM_TSS,Subsector: Total subsectors,_Z,Not Applicable,2014,67399.53406658,IDB_INFRALATAM,Infralatam,6,Millions,CUR,Currency,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,IDB_INFRALATAM_1,Annual public investment in economic infrastructure at current prices in national currency (millions),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IDB_INFRALATAM_TS,Sector: Total sectors,IDB_INFRALATAM_TSS,Subsector: Total subsectors,_Z,Not Applicable,2015,88372.76111276,IDB_INFRALATAM,Infralatam,6,Millions,CUR,Currency,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,IDB_INFRALATAM_1,Annual public investment in economic infrastructure at current prices in national currency (millions),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IDB_INFRALATAM_TS,Sector: Total sectors,IDB_INFRALATAM_TSS,Subsector: Total subsectors,_Z,Not Applicable,2016,88212.24191257,IDB_INFRALATAM,Infralatam,6,Millions,CUR,Currency,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,IDB_INFRALATAM_1,Annual public investment in economic infrastructure at current prices in national currency (millions),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IDB_INFRALATAM_TS,Sector: Total sectors,IDB_INFRALATAM_TSS,Subsector: Total subsectors,_Z,Not Applicable,2017,126555.87169634,IDB_INFRALATAM,Infralatam,6,Millions,CUR,Currency,602,CCYY,A,Normal value,PU,Public
