id_venta,fecha,año,mes,dia_semana,semana_numero,producto,categoria,cantidad,precio_unitario,descuento,monto_total,costo_unitario,margen_beneficio,estado,ciudad,region,metodo_pago,canal_venta,cliente_id,categoria_cliente,cliente_antiguedad_dias,vendedor_id,vendedor_experiencia_meses,promocion_aplicada,cupon_usado,puntuacion_cliente,tiempo_entrega_dias,fecha_registro_cliente,acumulado_mes_producto,ranking_ciudad_mes
1,2024-12-03,2024,12,Tuesday,49,Disco Duro,Electrónica,46,976,20,35916.8,595.78,38.96,,Barcelona,Noreste,Transferencia,App,CLI2664,Regular,1,Sofia,6,CyberMonday,No,3,3,2024-12-02,35916.8,1
2,08-26-2024,2024,8,Monday,35,Teclado,,57,1309,13,64913.31,646.74,50.59,Cancelado,Sevilla,Sur,PayPal,Tienda física,CLI1097,,219,Laura,24,Verano,Sí,3,15,2024-01-20,64913.31,1
3,2024-08-21,2024,8,Wednesday,34,Monitor,Accesorios,8,727,2,5699.68,428.69,41.03,,Sevilla,Sur,Transferencia,Tienda física,CLI1081,Nuevo,7,Sofia,6,CyberMonday,False,1,3,2024-08-14,5699.68,2
4,2024-07-07,2024,7,Sunday,27,Mouse,Almacenamiento,15,705,48,5499.0,412.46,41.5,Pendiente,Bilbao,Norte,Transferencia,Marketplace,CLI2040,,99,Ana,36,Sin promoción,False,1,12,2024-03-30,5499.0,1
5,2023-05-15,2023,5,Monday,20,,Electrónica,56,1500,0,84000.0,671.12,55.26,Pendiente,Madrid,Centro,Tarjeta,,CLI7673,Inactivo,184,Sofia,6,,True,2,5,2022-11-12,84000.0,1
6,2024-02-07,2024,2,Wednesday,6,,Accesorios,62,1132,25,52638.0,747.69,33.95,Completado,Madrid,Centro,Transferencia,App,CLI8812,,164,Miguel,48,Sin promoción,False,5,9,2023-08-27,52638.0,1
7,2023-12-23,2023,12,Saturday,51,Webcam,Almacenamiento,77,1236,3,92316.84,509.53,58.78,,Valencia,Este,Efectivo,App,CLI6837,Regular,31,,,Primavera,,3,3,2023-11-22,92316.84,1
8,2023-11-02,2023,11,Thursday,44,Webcam,Almacenamiento,98,$1320.99,9,117805.8882,842.5,,,Sevilla,Sur,Efectivo,Marketplace,CLI8681,Regular,286,Sofia,6,,,1,9,2023-01-20,117805.8882,1
9,2023-02-11,2023,2,Saturday,6,Webcam,Periféricos,6,1080,38,4017.6,750.53,30.51,Pendiente,Bilbao,Norte,PayPal,Tienda física,CLI3170,Nuevo,330,Carlos,12,Verano,,3,4,2022-03-18,4017.6,1
10,17/09/2023,2023,9,Sunday,37,USB,Periféricos,34,1240,50,21080.0,734.18,40.79,Completado,Sevilla,Sur,Tarjeta,Web,CLI8609,Nuevo,75,Miguel,48,Primavera,No,5,12,2023-07-04,21080.0,1
11,2024-01-27,2024,1,Saturday,4,Impresora,Accesorios,56,1190,70,19992.000000000004,766.9,35.55,Pendiente,,,PayPal,App,CLI7268,Nuevo,123,Carlos,12,Verano,Sí,4,4,2023-09-26,39984.00000000001,1
12,03-07-2023,2023,3,Tuesday,10,USB,,-17,554,14,-8099.48,289.42,47.76,Envío,Bilbao,Norte,Efectivo,Tienda física,CLI2006,Inactivo,231,Miguel,48,Verano,True,1,10,2022-07-19,error_acumulado,
13,2023-11-12,2023,11,Sunday,45,RAM,,46,1457,41,-39542.98,765.69,47.45,Pendiente,Sevilla,Sur,PayPal,Web,CLI6957,Nuevo,246,Miguel,48,Sin promoción,False,4,11,2023-03-11,error_acumulado,
14,2023-02-03,2023,2,Friday,5,,,62,"1457,99",25,67796.535,814.7,,Cancelado,Valencia,Este,PayPal,App,CLI2758,VIP,280,,,Verano,,1,11,2022-04-29,67796.535,1
15,2024-11-02,2024,11,Saturday,44,Teclado,Almacenamiento,19,439,24,6339.16,186.66,57.48,Envío,Sevilla,Sur,Efectivo,App,CLI4488,Nuevo,189,Carlos,12,,False,5,12,fecha_invalida,6339.16,1
16,2023-03-12,2023,3,Sunday,10,Laptop,Almacenamiento,83,$1213.99,58,42319.6914,819.75,,,Bilbao,Norte,,Tienda física,CLI6674,,48,Sofia,6,Verano,Sí,3,11,2023-01-23,42319.6914,1
17,2023-10-04,2023,10,Wednesday,40,Disco Duro,Electrónica,51,676,-5,36199.8,472.5,30.1,Completado,Valencia,Este,Transferencia,App,CLI6139,Nuevo,117,Laura,24,Sin promoción,Sí,3,2,2023-06-09,36199.8,1
18,2024-11-18,2024,11,Monday,47,Teclado,Periféricos,7 unidades,488,31,0.0,340.11,30.31,Envío,Sevilla,Sur,PayPal,,CLI9843,Inactivo,221,Ana,36,Sin promoción,True,2,3,2024-04-11,error_acumulado,
19,2023-02-08,2023,2,Wednesday,6,USB,Electrónica,64,208,36,8519.68,114.43,-44.98557692307692,Completado,Madrid,Centro,Tarjeta,,CLI1574,Regular,20,,,CyberMonday,,5,-7,2023-01-19,8519.68,1
6593,22/05/2024,2024,5,Wednesday,21,Teclado,Accesorios,64,1049,58,28197.120000000003,450.12,57.09,Envío,Valencia,Este,,Marketplace,CLI1932,Nuevo,186,Carlos,12,Sin promoción,False,2,7,2023-11-18,28197.120000000003,1
21,2023-06-14,2023,6,Wednesday,24,Teclado,Almacenamiento,47,18,19,685.26,12.0,33.33,Envío,Sevilla,Sur,Tarjeta,Tienda física,CLI6123,Regular,295,Sofia,6,Sin promoción,inválido,3,1,2022-08-23,685.26,1
22,07-20-2023,2023,7,Thursday,29,Teclado,Periféricos,3.5603400859037815,111,67,130.4152573466555,44.77,59.67,Pendiente,Bilbao,Norte,,,CLI9507,VIP,348,Ana,36,Verano,No,4,1,2022-08-06,260.830514693311,1
23,2023-10-15,2023,10,Sunday,41,Webcam,Periféricos,21,1227,36,16490.88,1134.4535099928253,7.54,Pendiente,Valencia,Este,Transferencia,Marketplace,CLI2901,Regular,67,Ana,36,Sin promoción,No,5,6,2023-08-09,16490.88,2
24,2024-10-23,2024,10,Wednesday,43,Mouse,Electrónica,-10,$1304.99,34,-8612.934,766.09,,Cancelado,Sevilla,Sur,PayPal,App,CLI4461,,148,Miguel,48,,False,2,13,2024-05-28,error_acumulado,
25,2023-01-28,2023,1,Saturday,4,USB,Electrónica,52,974,33,33934.159999999996,601.02,38.29,Pendiente,Barcelona,Noreste,,,CLI5305,Inactivo,307,Miguel,48,Sin promoción,No,1,10,2022-03-27,33934.159999999996,1
26,2024-06-05,2024,6,Wednesday,23,Webcam,,46,1032,54,-21837.12,483.74,53.13,Completado,,,Tarjeta,Marketplace,,Regular,94,Miguel,48,Sin promoción,True,1,14,2024-03-03,error_acumulado,
27,2023-09-02,2023,9,Saturday,35,USB,Accesorios,88,1342,25,,888.69,33.78,Pendiente,,,,,CLI2940,VIP,85,Laura,24,Sin promoción,True,5,2,2023-06-09,error_acumulado,
28,2023-08-06,2023,8,Sunday,31,Disco Duro,Accesorios,23,"1250,99",179,-22730.4883,852.81,,Cancelado,Bilbao,Norte,Transferencia,Tienda física,CLI2865,Inactivo,88,Laura,24,Verano,,2,11,2023-05-10,error_acumulado,
29,2023-09-05,2023,9,Tuesday,36,,,34,1220,7,38576.399999999994,657.24,46.13,Cancelado,Bilbao,Norte,PayPal,App,CLI9749,Regular,299,Ana,36,,No,1,2,2022-11-10,0,1
30,24/10/2023,2023,10,Tuesday,43,USB,Accesorios,11,360,45,2178.0,210.85,41.43,,Sevilla,Sur,,App,CLI7009,Inactivo,219,Ana,36,,Sí,3,11,fecha_invalida,2178.0,1
