transaction_id,date,customer_id,amount,status,store
TXN-00001,2023-03-02,1038,-194.07,,
TXN-00002,2023-04-06,1002,452.64,CANCELADA,Tienda_Norte
TXN-00003,2023-08-24,1017,344.76,FALLIDA,Tienda_Sur
TXN-00004,2023-01-20,1041,$85.16,,Tienda_Sur
TXN-00005,02-07-2023,1000,$72.53,FALLIDA,Tienda_Norte
TXN-00006,2023-09-27,1001,$127.87,,Tienda_Centro
TXN-00007,2023-07-13,1027,-473.2,FALLIDA,Tienda_Centro
TXN-00008,2023-12-04,1034,410.86,FALLIDA,Tienda_Norte
TXN-00009,12-03-2023,1036,170.82,CANCELADA,Tienda_Este
TXN-00010,2023-11-07,1014,366.92,,Tienda_Centro
TXN-00011,2023-08-14,1039,471.75,CANCELADA,Tienda_Sur
TXN-00012,2023-05-03,1050,$218.94,FALLIDA,
TXN-00013,2023-02-11,,183.97,CANCELADA,Tienda_Centro
TXN-00014,2023-08-26,1047,56.56,CANCELADA,Tienda_Este
TXN-00015,2023-02-11,1016,274.5,COMPLETADA,Tienda_Sur
TXN-00016,2023-04-11,1003,308.87,FALLIDA,
TXN-00017,2023-03-07,1007,$394.04,CANCELADA,
TXN-00018,2023-11-06,1039,$413.38,,Tienda_Sur
TXN-00019,2023-04-28,1003,317.2,CANCELADA,Tienda_Centro
TXN-00020,23-12-2023,1004,223.74,PENDIENTE,Tienda_Norte
TXN-00021,2023-12-15,1025,291.97,,Tienda_Centro
TXN-00022,2023-03-31,1013,120.75,FALLIDA,Tienda_Norte
TXN-00023,2023-09-29,1028,34.78,,Tienda_Centro
TXN-00024,2023-03-06,1012,94.25,FALLIDA,Tienda_Centro
TXN-00025,2023-04-24,1028,$409.52,CANCELADA,Tienda_Este
TXN-00026,2023-06-21,1003,,,Tienda_Centro
TXN-00027,2023-09-17,,494.19,CANCELADA,Tienda_Sur
TXN-00028,2023-07-17,1015,-249.17,FALLIDA,Tienda_Norte
TXN-00029,2023-08-28,1021,351.03,CANCELADA,Tienda_Norte
TXN-00030,2023-09-16,1001,477.56,PENDIENTE,Tienda_Sur
TXN-00031,2023-07-11,1004,60.44,FALLIDA,Tienda_Norte
TXN-00031,2023-07-11,1004,60.44,FALLIDA,Tienda_Norte
TXN-00032,2023-03-20,1032,169.05,,Tienda_Norte
TXN-00033,2023-07-24,1018,277.03,COMPLETADA,Tienda_Este
TXN-00034,2023-06-20,,389.33,,
TXN-00035,2023-09-07,1009,261.53,PENDIENTE,
TXN-00036,2023-04-04,1023,426.68,PENDIENTE,Tienda_Norte
TXN-00036,2023-04-04,1023,426.68,PENDIENTE,Tienda_Norte
TXN-00037,28-03-2023,1029,233.32,FALLIDA,Tienda_Este
TXN-00038,2023-01-18,1029,218.08,COMPLETADA,Tienda_Norte
TXN-00039,13-08-2023,1011,252.18,COMPLETADA,
TXN-00039,13-08-2023,1011,252.18,COMPLETADA,
TXN-00040,2023-02-25,1042,$452.01,CANCELADA,Tienda_Sur
TXN-00041,2023-08-11,1033,$130.72,PENDIENTE,Tienda_Sur
TXN-00042,2023-11-27,1048,385.99,COMPLETADA,Tienda_Sur
TXN-00043,2023-09-21,1033,$479.76,,Tienda_Sur
TXN-00043,2023-09-21,1033,$479.76,,Tienda_Sur
TXN-00044,20-01-2023,1045,212.54,,Tienda_Sur
TXN-00045,2023-06-22,1042,79.27,COMPLETADA,Tienda_Centro
TXN-00046,2023-07-30,1020,122.76,COMPLETADA,Tienda_Norte
TXN-00047,2023-10-05,1043,,FALLIDA,Tienda_Sur
TXN-00048,2023-10-01,1023,$19.02,COMPLETADA,Tienda_Sur
TXN-00049,2023-01-09,1024,268.48,CANCELADA,
TXN-00050,2023-09-30,1034,308.1,COMPLETADA,Tienda_Sur
TXN-00051,2023-12-31,1022,32.32,CANCELADA,Tienda_Norte
TXN-00052,2023-03-22,1003,-358.86,COMPLETADA,
TXN-00053,2023-07-08,1037,,CANCELADA,
TXN-00054,2023-09-11,1032,252.71,PENDIENTE,Tienda_Sur
TXN-00055,2023-01-16,1004,471.89,,Tienda_Norte
TXN-00056,14-05-2023,1001,$163.73,CANCELADA,Tienda_Este
TXN-00057,2023-11-15,1002,376.99,CANCELADA,Tienda_Norte
TXN-00058,2023-06-07,1010,301.02,FALLIDA,Tienda_Este
TXN-00059,2023-08-03,1045,195.49,FALLIDA,Tienda_Norte
TXN-00060,2023-05-04,1038,155.27,COMPLETADA,Tienda_Este
TXN-00061,2023-12-20,1046,302.29,COMPLETADA,Tienda_Norte
TXN-00062,2023-01-05,1028,242.88,FALLIDA,
TXN-00063,2023-08-23,1010,,,Tienda_Norte
TXN-00064,2023-06-03,1018,222.7,CANCELADA,Tienda_Este
TXN-00065,2023-04-11,1024,47.07,PENDIENTE,Tienda_Este
TXN-00066,10-12-2023,,,PENDIENTE,Tienda_Norte
TXN-00067,2023-10-25,1002,254.97,PENDIENTE,
TXN-00068,2023-12-30,,171.04,COMPLETADA,Tienda_Norte
TXN-00069,2023-12-27,1015,$319.1,COMPLETADA,
TXN-00070,2023-09-29,1024,323.04,PENDIENTE,Tienda_Sur
TXN-00071,2023-12-19,1005,$332.06,,Tienda_Sur
TXN-00072,2023-07-12,,110.27,FALLIDA,Tienda_Sur
TXN-00073,2023-10-11,1041,281.36,CANCELADA,Tienda_Sur
TXN-00074,2023-01-14,1037,273.55,COMPLETADA,Tienda_Centro
TXN-00075,2024-01-01,1047,,,Tienda_Sur
TXN-00076,2023-07-22,1043,379.21,FALLIDA,Tienda_Norte
TXN-00077,2023-01-02,1023,262.5,PENDIENTE,
TXN-00077,2023-01-02,1023,262.5,PENDIENTE,
TXN-00078,2023-02-23,1025,496.05,,Tienda_Este
TXN-00079,2023-08-18,1006,,FALLIDA,Tienda_Sur
TXN-00080,2023-09-28,1028,412.85,COMPLETADA,Tienda_Sur
TXN-00081,2023-09-14,1005,421.71,,Tienda_Norte
TXN-00082,2023-04-24,1009,$99.33,PENDIENTE,Tienda_Este
TXN-00083,2023-05-07,1027,490.31,COMPLETADA,Tienda_Sur
TXN-00084,2023-08-08,1009,426.97,COMPLETADA,Tienda_Norte
TXN-00085,07-06-2023,1046,44.94,CANCELADA,
TXN-00086,2023-03-02,1038,412.33,CANCELADA,Tienda_Norte
TXN-00087,2023-08-17,1014,58.3,PENDIENTE,
TXN-00088,2023-05-06,1011,138.08,,Tienda_Este
TXN-00089,31-10-2023,1010,-423.17,,Tienda_Norte
TXN-00090,2023-04-17,1009,343.3,,Tienda_Sur
TXN-00091,2023-05-11,1003,332.75,FALLIDA,Tienda_Sur
TXN-00092,15-04-2023,1036,40.18,CANCELADA,Tienda_Norte
TXN-00093,2023-02-28,1004,$495.53,,Tienda_Sur
TXN-00094,2023-04-29,1014,409.76,FALLIDA,Tienda_Este
TXN-00095,2023-08-06,1032,146.47,PENDIENTE,Tienda_Este
TXN-00096,2023-08-20,1002,225.07,CANCELADA,
TXN-00097,2023-04-19,1029,96.16,,Tienda_Este
TXN-00098,2023-11-02,1018,238.43,PENDIENTE,Tienda_Centro
TXN-00099,2023-07-21,,396.91,,Tienda_Este
TXN-00100,2023-08-21,1004,133.53,COMPLETADA,Tienda_Sur
