transaction_id,date,customer_id,amount,status,store
TXN-00001,2023-03-02,1038.0,194.07,DESCONOCIDO,TIENDA_SIN_ESPECIFICAR
TXN-00002,2023-04-06,1002.0,452.64,CANCELADA,Tienda_Norte
TXN-00003,2023-08-24,1017.0,344.76,FALLIDA,Tienda_Sur
TXN-00004,2023-01-20,1041.0,85.16,DESCONOCIDO,Tienda_Sur
TXN-00005,2023-07-02,1000.0,72.53,FALLIDA,Tienda_Norte
TXN-00006,2023-09-27,1001.0,127.87,DESCONOCIDO,Tienda_Centro
TXN-00007,2023-07-13,1027.0,473.2,FALLIDA,Tienda_Centro
TXN-00008,2023-12-04,1034.0,410.86,FALLIDA,Tienda_Norte
TXN-00009,2023-03-12,1036.0,170.82,CANCELADA,Tienda_Este
TXN-00010,2023-11-07,1014.0,366.92,DESCONOCIDO,Tienda_Centro
TXN-00011,2023-08-14,1039.0,471.75,CANCELADA,Tienda_Sur
TXN-00012,2023-05-03,1050.0,218.94,FALLIDA,TIENDA_SIN_ESPECIFICAR
TXN-00013,2023-02-11,DESCONOCIDO,183.97,CANCELADA,Tienda_Centro
TXN-00014,2023-08-26,1047.0,56.56,CANCELADA,Tienda_Este
TXN-00015,2023-02-11,1016.0,274.5,COMPLETADA,Tienda_Sur
TXN-00016,2023-04-11,1003.0,308.87,FALLIDA,TIENDA_SIN_ESPECIFICAR
TXN-00017,2023-03-07,1007.0,394.04,CANCELADA,TIENDA_SIN_ESPECIFICAR
TXN-00018,2023-11-06,1039.0,413.38,DESCONOCIDO,Tienda_Sur
TXN-00019,2023-04-28,1003.0,317.2,CANCELADA,Tienda_Centro
TXN-00020,2023-12-23,1004.0,223.74,PENDIENTE,Tienda_Norte
TXN-00021,2023-12-15,1025.0,291.97,DESCONOCIDO,Tienda_Centro
TXN-00022,2023-03-31,1013.0,120.75,FALLIDA,Tienda_Norte
TXN-00023,2023-09-29,1028.0,34.78,DESCONOCIDO,Tienda_Centro
TXN-00024,2023-03-06,1012.0,94.25,FALLIDA,Tienda_Centro
TXN-00025,2023-04-24,1028.0,409.52,CANCELADA,Tienda_Este
TXN-00026,2023-06-21,1003.0,,DESCONOCIDO,Tienda_Centro
TXN-00027,2023-09-17,DESCONOCIDO,494.19,CANCELADA,Tienda_Sur
TXN-00028,2023-07-17,1015.0,249.17,FALLIDA,Tienda_Norte
TXN-00029,2023-08-28,1021.0,351.03,CANCELADA,Tienda_Norte
TXN-00030,2023-09-16,1001.0,477.56,PENDIENTE,Tienda_Sur
TXN-00031,2023-07-11,1004.0,60.44,FALLIDA,Tienda_Norte
TXN-00031,2023-07-11,1004.0,60.44,FALLIDA,Tienda_Norte
TXN-00032,2023-03-20,1032.0,169.05,DESCONOCIDO,Tienda_Norte
TXN-00033,2023-07-24,1018.0,277.03,COMPLETADA,Tienda_Este
TXN-00034,2023-06-20,DESCONOCIDO,389.33,DESCONOCIDO,TIENDA_SIN_ESPECIFICAR
TXN-00035,2023-09-07,1009.0,261.53,PENDIENTE,TIENDA_SIN_ESPECIFICAR
TXN-00036,2023-04-04,1023.0,426.68,PENDIENTE,Tienda_Norte
TXN-00036,2023-04-04,1023.0,426.68,PENDIENTE,Tienda_Norte
TXN-00037,2023-03-28,1029.0,233.32,FALLIDA,Tienda_Este
TXN-00038,2023-01-18,1029.0,218.08,COMPLETADA,Tienda_Norte
TXN-00039,2023-08-13,1011.0,252.18,COMPLETADA,TIENDA_SIN_ESPECIFICAR
TXN-00039,2023-08-13,1011.0,252.18,COMPLETADA,TIENDA_SIN_ESPECIFICAR
TXN-00040,2023-02-25,1042.0,452.01,CANCELADA,Tienda_Sur
TXN-00041,2023-08-11,1033.0,130.72,PENDIENTE,Tienda_Sur
TXN-00042,2023-11-27,1048.0,385.99,COMPLETADA,Tienda_Sur
TXN-00043,2023-09-21,1033.0,479.76,DESCONOCIDO,Tienda_Sur
TXN-00043,2023-09-21,1033.0,479.76,DESCONOCIDO,Tienda_Sur
TXN-00044,2023-01-20,1045.0,212.54,DESCONOCIDO,Tienda_Sur
